adjclass,nounclass,n,acc
adj-ambig,noun-art,105,0.7619047619047619
adj-ambig,noun-distance,134,0.9552238805970149
adj-ambig,noun-human,72,0.8333333333333334
adj-ambig,noun-objects,94,0.44680851063829785
adj-ambig,noun-temporal,144,0.9930555555555556
adj-ambig,noun-unit_like,113,0.9203539823008849
adj-color,noun-objects,2,0
adj-human,noun-human,57,0.631578947368421
adj-neg,noun-art,28,0.25
adj-neg,noun-distance,42,0.9047619047619048
adj-neg,noun-human,22,0.7727272727272727
adj-neg,noun-objects,24,0.08333333333333333
adj-neg,noun-temporal,69,0.7536231884057971
adj-neg,noun-unit_like,53,0.7547169811320755
adj-pos,noun-art,46,0.32608695652173914
adj-pos,noun-distance,63,0.9365079365079365
adj-pos,noun-human,23,0.6521739130434783
adj-pos,noun-objects,38,0.07894736842105263
adj-pos,noun-temporal,77,0.987012987012987
adj-pos,noun-unit_like,35,0.8285714285714286
adj-quant,noun-art,124,0.9354838709677419
adj-quant,noun-distance,161,0.9813664596273292
adj-quant,noun-human,89,0.9438202247191011
adj-quant,noun-objects,100,0.89
adj-quant,noun-temporal,148,0.9797297297297297
adj-quant,noun-unit_like,152,0.9605263157894737
adj-stubborn,noun-human,3,0.6666666666666666
adj-stubborn,noun-objects,9,0
