suffix,train_construction,aann,anan,naan,lr
babylm,aann,0.6492353231376419,0.013813517513566848,0.010360138135175136,1e-3
counterfactual-babylm-aann-no_prototypical,no_prototypical,0.6369018253576715,0.017760236803157376,0.0059200789343857915,3e-4
counterfactual-babylm-aann-prototypical_only,prototypical_only,0.4814997533300444,0.028120374938332512,0.016773556980759743,1e-3
counterfactual-babylm-adj_num_freq_balanced,adj_num_freq_balanced,0.2856438085841145,0.020720276270350273,0.026147015293537246,1e-4
counterfactual-babylm-all_det_removal,all_det_none,0.40601874691662554,0.029107054760730142,0.015293537247163296,1e-3
counterfactual-babylm-indef-anan,anan,0.3487913172175629,0.21904292057227429,0.014306857424765663,3e-4
counterfactual-babylm-indef-naan-non-num,naan-non-num,0.6127281697089294,0.006413418845584608,0.0646275283670449,1e-4
counterfactual-babylm-indef-naan-rerun,naan-rerun,0.5155402072027627,0.021706956092747903,0.6788357178095707,1e-3
counterfactual-babylm-indef-removal,none,0.4750863344844598,0.011840157868771583,0.013320177602368031,1e-4
counterfactual-babylm-indef_articles_with_pl_nouns-removal,indef_articles_with_pl_nouns-none,0.3848051307350765,0.012826837691169216,0.007893438579181056,3e-4
